"Ventas por linea de artículo","","","","","","","","","","",""
"","Desclinea","Articulo","Descripción","Cant.Vendida","Importe","Impuesto","Total","","$11,041,226.83","$8,376,760.82","75.87%"
"DET","DETERGENTES ROPA","DEROML1","Roma LIQUIDO LITRO","58","1462.6","0","1462.6","","","",""
"SALC","SALCHICHAS                                        ","SASUE","Salchicha SUELTA kg","46.82","1461.28","0","1461.28","","","",""
"CREFAC","CREMAS FACIALES                                   ","CRGOL","Cacao Golva pz","847","1454.636","0","1454.636","","","",""
"SEM","SEMILLAS                                          ","SETRI","SEMILLA TRIGO","121.9","1454.21","0","1454.21","","","",""
"GALLETAS","GALLETAS","galletas","Galletas","140","1425.5","0","1425.5","","","",""
"ACEITES","ACEITES                                           ","ACOLIEV2","Aceite Olivo  250ml Extra Virgen Maxima","28","1415.7004","0","1415.7004","","","",""
"PAÑ","PAÑALES                                           ","PAABSC4","Absorsec CH c/40pz","15","1410.4","0","1410.4","","","",""
"SHAMPOO","SHAMPOO´S                                         ","SHCAPA7","Shampoo Caprice ANTICASPA 750ml","37","1409.8","0","1409.8","","","",""
"FARMACIA","FARMACIA                                          ","FATERC","Terramicina CAPSULA16pzas","6","1409.5","0","1409.5","","","",""
"CREFAC","CREMAS FACIALES                                   ","CRREA9","Crema Real 95gr","143","1408.2964","0","1408.2964","","","",""
"TE","TE´S                                              ","TEMACLI","Te LIMON C/25 pza","71","1403.1","0","1403.1","","","",""
"VINA","VINAGRES                                          ","VICOSM4","Vinagre COSTEÑA MZNA 4lt","30","1389.3","0","1389.3","","","",""
"PANE","PANES                                             ","PATOS","Pan Tostado Bimbo CLASICO 210g","62","1377","0","1377","","","",""
"DET","DETERGENTES ROPA","DEPUR5","Puro Sol  500gr","87","1370.1","0","1370.1","","","",""
"PANE","PANES                                             ","7501000122332","Pan Blanco Bimbo GDE 640g","41","1370","0","1370","","","",""
"FARMACIA","FARMACIA                                          ","FATAPN","Tabcin NOCHE c/12","23","1358.9","0","1358.9","","","",""
"VELADORAS","VELADORAS","VECIR5","Cirio 500 LUZ ETERNApza","40","1358.8008","0","1358.8008","","","",""
"CREFAC","CREMAS FACIALES                                   ","CRPONG","Ponds GND 400g","17","1358.3","0","1358.3","","","",""
"INSE","INSECTIDAS                                        ","INRAYMAG","Raid MAX GD 400ml","24","1355.7","0","1355.7","","","",""
"GELA","GELATINA                                          ","GEDAN","Gelatina DANY 125g","278","1354.5664","0","1354.5664","","","",""
"OTROS","OTROS                                             ","GUALT","Guantes ALTEX","84","1341","0","1341","","","",""
"VINA","VINAGRES                                          ","VICOSB5","Vinagre COSTEÑA BLANC 500ml","168","1340.9484","0","1340.9484","","","",""
"AVEN","AVENAS                                            ","AV3MI","Avena 3 min BOTE 400g","53","1338.17","0","1338.17","","","",""
"CAFES","CAFES","CANESDE5","Nescafe DESCAFEINADO  40gr","54","1336.2996","0","1336.2996","","","",""
"MAY","MAYONESAS                                         ","MOBAC34","Mostaza Bachi 3.4kg","22","1334.7","0","1334.7","","","",""
"YOG","YOGHURT                                           ","YOALP1","Yoghurt Alpura BOTE 1kg","46","1331","0","1331","","","",""
"VELADORAS","VELADORAS","VEIMAIG","Imagen INMACULADA Guadalupe","58","1328","0","1328","","","",""
"VELADORAS","VELADORAS","VECIR3","Cirio 300 LUZ ETERNApza","52","1327.6992","0","1327.6992","","","",""
"VINA","VINAGRES                                          ","VICOSM5","Vinagre COSTEÑA MZNA 500 MIL","133","1326.6016","0","1326.6016","","","",""
"VELADORAS","VELADORAS","VECERI1","Cera #1 INMACULADA","29","1326","0","1326","","","",""
"PAÑ","PAÑALES                                           ","PAADUGS","Pañal adulto SENIOR grande 10pz","14","1324.5","0","1324.5","","","",""
"VIN","VINOS                                             ","VITOR5","Torres 5 700ml","7","1308.3","0","1308.3","","","",""
"SARDINA","SARDINAS                                          ","SAFRE","Sardina FRESH 425g Economica","47","1303.7548","0","1303.7548","","","",""
"CHIENLA","CHILES ENLATADOS","CHSER2","Serranos 250gr COSTEÑA","126","1291.0984","0","1291.0984","","","",""
"SEM","SEMILLAS                                          ","ESSOY","Soya","59.5","1280.99","0","1280.99","","","",""
"LIMPIADORES","LIMPIADORES                                       ","LIPOE1","Limpiador POET 1lt","97","1271.9024","0","1271.9024","","","",""
"DESODORANTE","DESODORANTES","DEOBAAD","Obao AEROSOL Dama 150ml","35","1267.7008","0","1267.7008","","","",""
"SHAMPOO","SHAMPOO´S                                         ","SHSAV1","SHAMPOO SAVILE 180 ML","116","1264.9352","0","1264.9352","","","",""
"ENLATADO","ENLATADOS                                         ","ENENS5","Ensalada CLEMENTE 400gr","97","1260.0808","0","1260.0808","","","",""
"GALLETAS","GALLETAS","GASALGAG","Saladitas gamesa 12/186g","8","1255.2","0","1255.2","","","",""
"REF","REFRESCOS                                         ","REPEÑ6","Tehuacan Peñafiel 600 ml","140","1251.8","0","1251.8","","","",""
"ENLATADO","ENLATADOS                                         ","ACCOSB18","Aceituna COSTEÑA BLSA 185g","76","1250.5004","0","1250.5004","","","",""
"SALS","SALSAS                                            ","SAVAL","Valentina Sobre 1kg","40","1244","0","1244","","","",""
"PAÑ","PAÑALES                                           ","PASUAM4","Suavelastic MED 40pz","8","1224","0","1224","","","",""
"HARINA","HARINAS                                           ","HAPASPC","Pastel PRONTO Chocolate 515g","42","1202.2008","0","1202.2008","","","",""
"MAIZ","MAIZENAS                                          ","HAMAIC","Maizena  95g","127","1197.4522","0","1197.4522","","","",""
"FARMACIA","FARMACIA                                          ","FATRE","TREDA 20 PZ","10","1194.1","0","1194.1","","","",""
"TINTES","TINTES","TIKOL20","Koleston #20 Negro","23","1193.7","0","1193.7","","","",""
"DET","DETERGENTES ROPA","DESAL2","Salvo 250gr","155","1177.1524","0","1177.1524","","","",""
"SUA","SUAVISANTES","SUVEL5","Vel rosita 500ml","57","1167.8992","0","1167.8992","","","",""
"TOALLA","toallas","TOHUMB","Toallitas Humedas Bebin C/80","58","1147.4188","0","1147.4188","","","",""
"CALDO","CALDOS                                            ","CANORC","Knorr suiza CAMARON 8","50","1147","0","1147","","","",""
"LEPOL","LECHES EN POLVO                                   ","LENAN3C","Nan 3 350 GR","11","1133","0","1133","","","",""
"VIN","VINOS                                             ","VIROMS","Rompope SANTA CLARA 1LT","11","1122","0","1122","","","",""
"CREFAC","CREMAS FACIALES                                   ","CRROY","Crema ROYAL  95g","198","1121.404","0","1121.404","","","",""
"DES","DESECHABLES                                       ","CHCHI","Charola Chica #066 50 pz","88","1118","0","1118","","","",""
"CLORO","CLOROS                                            ","CLCLO5","Cloralex 500ml","170","1117.25","0","1117.25","","","",""
"LIMPIADORES","LIMPIADORES                                       ","LIMRM1","LIM. MR MUSCULO windex 750ml","26","1112.35","0","1112.35","","","",""
"JAPAS","JABONES PASTA","JPNAV","Nave PASTA 400gr","111","1105.91","0","1105.91","","","",""
"NAV","NAVAJAS                                           ","NAGIL","Navaja Gillette c/5nav","57","1105.65","0","1105.65","","","",""
"FARMACIA","FARMACIA                                          ","FASED","Sedalmerck pz","311","1103.6","0","1103.6","","","",""
"JAPAS","JABONES PASTA","JPMORE","Moro C/envoltura","120","1099.96","0","1099.96","","","",""
"FARMACIA","FARMACIA                                          ","FACAF","Cafiaspirina c/100pz","11","1099.2","0","1099.2","","","",""
"DESODORANTE","DESODORANTES","DEOBAM","OBAO Roll On Dama 65g","60","1090.78","0","1090.78","","","",""
"PIL","PIAGUIAA","PIDURAAA","Duracell AAA","71","1088.3984","0","1088.3984","","","",""
"ESPECIE","ESPECIES                                          ","ESCOM","Cominos 1kg","15.49","1088.2","0","1088.2","","","",""
"REF","REFRESCOS                                         ","REMANDE","Manzanita Deliciosa 3","52","1077.99938","0","1077.99938","","","",""
"CEPILLO","CEPILLOS                                          ","CECLI","Cepillo Clinic pz","200","1073.7032","0","1073.7032","","","",""
"SOP","SOPAS                                             ","SOMODAL","Almeja la moderna C/20 pza","10","1073.2","0","1073.2","","","",""
"ACEITES","ACEITES                                           ","ACOLI4","Aceite Olivo Mixto 40ml","337","1068.646","0","1068.646","","","",""
"FARMACIA","FARMACIA                                          ","FAPRO","Prodolina 10 pz","12","1066.8","0","1066.8","","","",""
"VELADORAS","VELADORAS","VEECOSC","Ecol semanaria CIELO","42","1063.9992","0","1063.9992","","","",""
"CAFES","CAFES","CAORO1","Cafe ORO 100gr","26","1056.6","0","1056.6","","","",""
"JUG","JUGOS","JUCLA5","CLAMATO 473 ML","65","1053.0204","0","1053.0204","","","",""
"VAI","VAINILLAS                                         ","VAGARL","Vainilla Gari 1lt","33","1052.7","0","1052.7","","","",""
"CREFAC","CREMAS FACIALES                                   ","CRNIVG","Nivea LATA  50ml","38","1050.3","0","1050.3","","","",""
"TOALLA","toallas","TOHUMS","Toallitas Humedas Suavelastic C/70t","46","1050.1","0","1050.1","","","",""
"TE","TE´S                                              ","TEMACCA","Te Canela/Manzana 25 pza","29","1047.7","0","1047.7","","","",""
"DET","DETERGENTES ROPA","DEESPV1","Espumil VERDE 1kg","37","1047","0","1047","","","",""
"CALDO","CALDOS                                            ","CANORS","Knorr suiza SUELTO Amarillo","65.5","1043","0","1043","","","",""
"REF","REFRESCOS                                         ","RECOC30","Coca Cola   300ml","144","1042.519992","0","1042.519992","","","",""
"RAS","RASTRILLOS                                        ","RADOR","Rastrillo DORUSA","246","1032.6","0","1032.6","","","",""
"ESPECIE","ESPECIES                                          ","ESJAM","Jamaica","5.588","1032.53","0","1032.53","","","",""
"ENLATADO","ENLATADOS                                         ","MACLE","Mangos CLEMENTE 800g","30","1017.8998","0","1017.8998","","","",""
"VELADORAS","VELADORAS","VEIMAIJ","Imagen INMACULADA San Judas","42","1002","0","1002","","","",""
"VELADORAS","VELADORAS","VEECOLMD","Ecol medio diamante CIELO","25","992.0002","0","992.0002","","","",""
"JUG","JUGOS","JUGATCH","Gatorade C/CHUPON 500ml","65","991.9984","0","991.9984","","","",""
"GALLETAS","GALLETAS","GARIC","Ricanelas 20/113g","5","990","0","990","","","",""
"REF","REFRESCOS                                         ","REPEP3","Pepsi 3lt","40","989.44","0","989.44","","","",""
"ESPECIE","ESPECIES                                          ","SAMACAJ","SAL CON AJO  125g","51","982","0","982","","","",""
"FARMACIA","FARMACIA                                          ","POCAM35","Pomada Campana 35g","52","979.9","0","979.9","","","",""
"TOALLA","toallas","TOHUMT","toallitaS HUMEDAS TINY","59","970.5004","0","970.5004","","","",""
"VIN","VINOS                                             ","JETRE4","JEREZ 4 LT TRES CORONAS","6","968.8","0","968.8","","","",""
"VIN","VINOS                                             ","VINEW","New mix pz","65","968.7968","0","968.7968","","","",""
"FRU","FRUTAS SECAS                                      ","FRTAM","Tamarindo KG","40.435","968.44","0","968.44","","","",""
"LEC","LECHES                                            ","LELALL","Lala LIGHT 1lt","48","962.6808","0","962.6808","","","",""
"GALLETAS","GALLETAS","GAMARIMOV","Marianitas VAINILLA Moderna 20/185g","6","959.4","0","959.4","","","",""
"ENLATADO","ENLATADOS                                         ","ENCHA5","Champiñones 400gr HERDEZ","33","949.86","0","949.86","","","",""
"TOALLA","toallas","TOALWA","Always NORMAL C/alas 10pz","51","948.9","0","948.9","","","",""
"VAI","VAINILLAS                                         ","VAGAR12","Vainilla Gari  120ml","154","948.64","0","948.64","","","",""
"GALLETAS","GALLETAS","GAANIC","Animalitos CUETARA","31","943.28","0","943.28","","","",""
"CHOCOLATE","CHOCOLATES","CHCAL4","Cal-C-Tose 350g BOLSA","27","942.3","0","942.3","","","",""
"CRCOM","CREMAS COMESTIBLES                                ","CRVACB","Crema Vaca Blanca 900g","24","936","0","936","","","",""
"PAÑ","PAÑALES                                           ","PASUAC4","Suavelastic CH 40pz","8","935.6","0","935.6","","","",""
"GEL","GEL                                               ","GEANT1","Gel Antibacterial ALK 1 litro","10","935","0","935","","","",""
"ENLATADO","ENLATADOS                                         ","ENPUR8","Pure Costeña  LTA  800gR","36","933.9831","0","933.9831","","","",""
"CLORO","CLOROS                                            ","CLCLA5","Clarasol 500ml","216","926.1","0","926.1","","","",""
"FLA","FLANES                                            ","FLPRO","Flan Pronto 84g","92","925.2488","0","925.2488","","","",""
"PAL","PALOMITAS                                         ","PAACTS","Palomitas ACT II 80 gr","92","920.6994","0","920.6994","","","",""
"ESPECIE","ESPECIES                                          ","ESROY","Royal","39.75","915.75","0","915.75","","","",""
"DET","DETERGENTES ROPA","DEPER5","Persil 500g","59","914.7999","0","914.7999","","","",""
"AVEN","AVENAS                                            ","AVQUA","Avena QUAKER bote 475gr","28","914.24","0","914.24","","","",""
"BARAJA","BARAJAS                                           ","BANAI","Naipe normal PZ","41","911.9004","0","911.9004","","","",""
"PABAÑ","PASTILLAS P/BAÑO                                  ","PABLA","Blasa Des/Bano 80GR","97","911.5004","0","911.5004","","","",""
"DESODORANTE","DESODORANTES","DEOBAA","Obao AEROSOL Caballero 150ml","25","911.1006","0","911.1006","","","",""
"DES","DESECHABLES                                       ","PAPAL","Palillos","173","894","0","894","","","",""
"DES","DESECHABLES                                       ","Chlar","Charola Larga #855 50pz","58","888.9","0","888.9","","","",""
"PASTA","PASTAS                                            ","PACRE1","Crest 100 ML","53","888.38","0","888.38","","","",""
"DESODORANTE","DESODORANTES","DENIVA","Desodorante Nivea Aerosol Dama 150ml","19","886","0","886","","","",""
"TOCADOR","JABON DE TOCADOR                                  ","JTTEP1","Tepeyac 100g","165","881.7568","0","881.7568","","","",""
"SHAMPOO","SHAMPOO´S                                         ","SHPAN4","Pantene  400ml","16","876.5","0","876.5","","","",""
"VIN","VINOS                                             ","VICAB1","Cabrito 1lt","5","875","0","875","","","",""
"SYS","LINEA GENERAL","ENELOH4","ELOTES HERDEZ 400 GR","67","874.8976","0","874.8976","","","",""
"SEM","SEMILLAS                                          ","SEARRQ","Arroz QUEBRADO kg","58.58","873.28","0","873.28","","","",""
"FARMACIA","FARMACIA                                          ","FACONU","Contac ULTRA C/12","19","872.1","0","872.1","","","",""
"GELA","GELATINA                                          ","GEGRE","Grenetina 1kg","18.505","870.5945","0","870.5945","","","",""
"SOP","SOPAS                                             ","SOMODFI1","Fideo 1 la MODERNA 20pz","8","863.2","0","863.2","","","",""
"CREFAC","CREMAS FACIALES                                   ","CRROYG","Crema ROYAL 150g","95","860.2614","0","860.2614","","","",""
"SEM","SEMILLAS                                          ","SEGARG","Garbanza GRANDE","34.85","859.5","0","859.5","","","",""
"LIMPIADORES","LIMPIADORES                                       ","LIAJA5","Ajax  388 GR","39","852.2004","0","852.2004","","","",""
"MAIZ","MAIZENAS                                          ","HAMAIESV","Maizena VAINILLA 24/47g","6","852","0","852","","","",""
"CREFAC","CREMAS FACIALES                                   ","CRNIV2","Nivea TARRO 200ml","12","848","0","848","","","",""
"FLA","FLANES                                            ","FLGAR1","FLAN Gari 1KG","18","844.2","0","844.2","","","",""
"TE","TE´S                                              ","TEMACA","TE MACORNIC 7 AZAHARES","29","838.1","0","838.1","","","",""
"VELADORAS","VELADORAS","VECERI2","Cera #2 INMACULADA","28","832.7","0","832.7","","","",""
"CHIENLA","CHILES ENLATADOS","CHSER3","Serranos 380gr COSTEÑA","44","832.2","0","832.2","","","",""
"DES","DESECHABLES                                       ","BOBAS","Bolsa Basura  PZA","214","831","0","831","","","",""
"CALDO","CALDOS                                            ","SAMIA","Saz. Mi Arroz BLANCO 12g","163","828.5","0","828.5","","","",""
"SUA","SUAVISANTES","SUCAR","SUAVISANTE Carisma 1lt","26","827.5","0","827.5","","","",""
"GRAS","GRASAS                                            ","GRNUGN","Nugget NEGRA","97","822.8","0","822.8","","","",""
"PANE","PANES                                             ","7501030418399","Donas espolvoreadas 8pzs 140g","59","820.5","0","820.5","","","",""
"ESPECIE","ESPECIES                                          ","POREX15","Polvo Hornear Rexal 150g","61","819.2","0","819.2","","","",""
"CAFES","CAFES","CACOF1","Coffee Mate 160gr","35","815.6402","0","815.6402","","","",""
"CAFES","CAFES","CALEGS5","Legal SOLUBLE  50gr","46","813.8992","0","813.8992","","","",""
"GEL","GEL                                               ","GEEGO2","GEL EGO 200ml","78","810.8196","0","810.8196","","","",""
"SPA","SPRAY                                             ","MOHER","Mouse HERBAL 227 G","20","808.5","0","808.5","","","",""
"SALS","SALSAS                                            ","SACHA4","Chamoy MEGA 4.1lt","13","804.7","0","804.7","","","",""
"PANE","PANES                                             ","7501000111466","PAN INTEGRAL GD 675g","21","792","0","792","","","",""
"REF","REFRESCOS                                         ","REBOO2","Boost 235ml","36","792","0","792","","","",""
"CHISEC","CHILES SECOS                                      ","CHSECMO","Chile MOLIDO KG","23.105","791.57","0","791.57","","","",""
"ENLATADO","ENLATADOS                                         ","ENENS2","Ensalada CLEMENTE 220gr","98","791.5288","0","791.5288","","","",""
"ENLATADO","ENLATADOS                                         ","ENCHA2","Champiñones 186gr HERDEZ","56","786.27","0","786.27","","","",""
"PEGAMENTO","PEGAMENTOS                                        ","PEKOLP","Plasti Loka 20g","45","785.97","0","785.97","","","",""
"FRENL","FRIJOLES EN LATADOS                               ","FRSIERBB","Frijol Sierra REFRI BAYO BLSA 430gr","63","784.76","0","784.76","","","",""
"PANE","PANES                                             ","7501030474227","DONAS  AZUCAR C/6 158g","50","767.5","0","767.5","","","",""
"FRENL","FRIJOLES EN LATADOS                               ","FRISA4","Frijol ISADORA NEGROS 430g","58","764.88","0","764.88","","","",""
"INSE","INSECTIDAS                                        ","INRAYCJ2","Raid CASA Y JARDIN 250ml","18","747.75","0","747.75","","","",""
"FRENL","FRIJOLES EN LATADOS                               ","FRISA4B","Frijol ISADORA BAYOS 430g","56","734.88","0","734.88","","","",""
"CREFAC","CREMAS FACIALES                                   ","CRNIVC","Nivea LATA  20ml","57","729","0","729","","","",""
"GEL","GEL                                               ","GEEGO","GEL EGO 250 ML","44","722.75","0","722.75","","","",""
"AZU","AZUCAR                                            ","AZSPL1","Splenda 100s","10","720","0","720","","","",""
"VELADORAS","VELADORAS","VELIMI","Limonero INMACULADA Parafina pz","50","719.96","0","719.96","","","",""
"GALLETAS","GALLETAS","GACHO57","CHOKIS Clasica 57g","85","717.88","0","717.88","","","",""
"DES","DESECHABLES                                       ","VAJAG8","VASO JAGUAR #8","47","715","0","715","","","",""
"SHAMPOO","SHAMPOO´S                                         ","SHRIS","SHAMPOO Ricitos de Oro 250ml","13","710.8","0","710.8","","","",""
"REF","REFRESCOS                                         ","RERED3","Red COLA 3lt","32","709","0","709","","","",""
"VELADORAS","VELADORAS","VECAFCL","Cafetero CIELO LISO","43","701.9","0","701.9","","","",""
"FARMACIA","FARMACIA                                          ","FAAGI","Agin  20pzas","6","700","0","700","","","",""
"CHOCOLATE","CHOCOLATES","CHCALL","Cal-C-Tose 400g LATA","14","698.6","0","698.6","","","",""
"FARMACIA","FARMACIA                                          ","FADESI","Desenfriolito 24tab","16","697.2","0","697.2","","","",""
"SUA","SUAVISANTES","SUPAT9","Suavisante PATITOS 940ml","44","696.7","0","696.7","","","",""
"REF","REFRESCOS                                         ","RETEHP","Tehuacan PEÑAFIEL 8/2lt","6","696","0","696","","","",""
"PAÑ","PAÑALES                                           ","PAABSJ14","Absorsec JUM c/14pz","14","685.8","0","685.8","","","",""
"DET","DETERGENTES ROPA","DEARI2","Ariel 250gr","71","684.24","0","684.24","","","",""
"SAL","SALES                                             ","SASOM","Sal SOL 500g","166","676.1","0","676.1","","","",""
"REF","REFRESCOS                                         ","RESID2","Sidral 8/2","4","658.9","0","658.9","","","",""
"PAÑ","PAÑALES                                           ","PABEBC4","Bebin CH 40pz","8","654.5288","0","654.5288","","","",""
"SALS","SALSAS                                            ","SAINGZ1","Salsa Inglesa Zafran 1lt","11","647.9","0","647.9","","","",""
"MAY","MAYONESAS                                         ","ADCLE2R","Aderezo Ranch Clemente 237ml","26","647.4","0","647.4","","","",""
"YOG","YOGHURT                                           ","YOBEN","YOGHUR BENEGASTRO","72","645.9","0","645.9","","","",""
"SOP","SOPAS                                             ","SOMODCA1","Caracol 1 la moderna C/20 pza","6","642.7","0","642.7","","","",""
"SOP","SOPAS                                             ","SOMODOJ","Ojito la moderna C/20","6","642.6","0","642.6","","","",""
"SOP","SOPAS                                             ","SOMODEN","Engrane la moderna C/20 pza","6","642.5","0","642.5","","","",""
"GALLETAS","GALLETAS","GAMARIMOCH","Marianitas CHOCOLATE Moderna 20/185g","4","639.6","0","639.6","","","",""
"FRENL","FRIJOLES EN LATADOS                               ","FRCOSEN5","Frijol Costeña ENTER NEGRO 568gr","57","633.2492","0","633.2492","","","",""
"ACEITES","ACEITES                                           ","ACOLIP","Aceite Olivo PURO  40ml","147","629.2156","0","629.2156","","","",""
"BRILLANTINA","BRILLANTINAS                                      ","BRPALM","Brillantina Palmolive 115ml","19","625.1","0","625.1","","","",""
"DET","DETERGENTES ROPA","DEFOC2","Foca  250gr","80","619.8","0","619.8","","","",""
"TE","TE´S                                              ","TEMACMA","Te MANZANILLA  C/25 pza","32","619.1","0","619.1","","","",""
"ENLATADO","ENLATADOS                                         ","ENCHIZC","Chicharo c/ZANAHORIA 420g CLEMENTE","55","611.13","0","611.13","","","",""
"ENLATADO","ENLATADOS                                         ","PUCOSC2","Pure Costeña CJA  210gr","98","609.06","0","609.06","","","",""
"HARINA","HARINAS                                           ","HARINA0040","Harina Hot Cakes LA NEGRITA 500g","19","601","0","601","","","",""
"VIN","VINOS                                             ","TECOM","TEQUILA COMPADRE 12PZ","1","599","0","599","","","",""
"DET","DETERGENTES ROPA","DEAXIL2","Axion LIQUIDO 280ml","47","596.88","0","596.88","","","",""
"GALLETAS","GALLETAS","GAEMPS16","Emperador  surtido 16 pz","4","595.6","0","595.6","","","",""
"REF","REFRESCOS                                         ","REESC3","SQUIRT 3lt","25","593.6998","0","593.6998","","","",""
"DES","DESECHABLES                                       ","CUPAS","Cuchara Pastelera 50 pz","102","593","0","593","","","",""
"SOP","SOPAS                                             ","SOFON","Sopa Fontina 200g","131","589.5","0","589.5","","","",""
"PAÑ","PAÑALES                                           ","PASUARN","Suavelastic RECIEN NACIDO 17pz","12","587.76","0","587.76","","","",""
"DESODORANTE","DESODORANTES","DENIVR","Desodorante Nivea Roll-on Dama 50ml","25","586","0","586","","","",""
"TOCADOR","JABON DE TOCADOR                                  ","JTZET1","Zest  90g","66","584.9004","0","584.9004","","","",""
"QUE","QUESOS                                            ","QUPHI","Queso Philadelphia 190g","19","584","0","584","","","",""
"TE","TE´S                                              ","TEMACHI","Te HIERBA BUENA C/25 pza","29","578.2","0","578.2","","","",""
"GRAS","GRASAS                                            ","GRCOLN","Color Fiel NEGRA","68","575.5","0","575.5","","","",""
"GALLETAS","GALLETAS","GAGOY","Goyescas 15R","3","573","0","573","","","",""
"DES","DESECHABLES                                       ","PLPOSC","Plato Pozolero CHICO PH6","66","569.8","0","569.8","","","",""
"ESPECIE","ESPECIES                                          ","ESCHI","ESPECIE CHIA","6.375","569.5","0","569.5","","","",""
"TOALLA","toallas","TOKOTUA","Kotex UNIKA ANATOMICA C/alas 8pz","40","568.97","0","568.97","","","",""
"REF","REFRESCOS                                         ","REARI","Arizona 695ml pz","42","565.71","0","565.71","","","",""
"PASTA","PASTAS                                            ","PACOLX5","Colgate XTRA Blancura 50ml","59","562.72","0","562.72","","","",""
"GEL","GEL                                               ","GEALO","Gel ALOE 250g","70","554.784","0","554.784","","","",""
"MAN","MANTECAS                                          ","MACERL","LATA VACIA","20","552","0","552","","","",""
"TOCADOR","JABON DE TOCADOR                                  ","JTROS1","Rosa Venus 100g","100","548.2988","0","548.2988","","","",""
"VAI","VAINILLAS                                         ","VAGAR4","Vainilla Gari 4lt","6","547.8","0","547.8","","","",""
"ALUMINIOS","ALUMINIOS                                         ","ALAZT1","Aluminio Azteca  10","49","546.8304","0","546.8304","","","",""
"SHAMPOO","SHAMPOO´S                                         ","SHPAN2","Pantene  200ml","21","546","0","546","","","",""
"PAL","PALOMITAS                                         ","PAACTM","Palomitas act II MANTEQUILLA C/14 pz","4","539.6","0","539.6","","","",""
"SOP","SOPAS                                             ","SOMODMO","Moño la moderna C/20","5","539.5","0","539.5","","","",""
"SOP","SOPAS                                             ","SOMODSO","Sombrero la moderna C/20","5","539.5","0","539.5","","","",""
"SHAMPOO","SHAMPOO´S                                         ","SHPALE","Palmolive SOBRE 10ml","288","539.256","0","539.256","","","",""
"DESODORANTE","DESODORANTES","DEOBAH","OBAO Roll On Caballero 65g","29","538.73","0","538.73","","","",""
"SOP","SOPAS                                             ","SOMODTO","Tornillo la moderna C/20","5","538.6","0","538.6","","","",""
"DES","DESECHABLES                                       ","PLPAS","Plato Pastelero 25pz","61","538.4","0","538.4","","","",""
"FARMACIA","FARMACIA                                          ","FAXL3","XL3 Antigripal 8pzas","20","538.2","0","538.2","","","",""
"SOP","SOPAS                                             ","SOMODLEN","Lenteja la moderna C/20","5","535.9","0","535.9","","","",""
"SOP","SOPAS                                             ","SOMODPL","Pluma la moderna C/20","5","534.6","0","534.6","","","",""
"DUL","DULCES","PATU","Tutsi Pop","162","533","0","533","","","",""
"REF","REFRESCOS                                         ","RESID3","Sidral Mundet 3lt","20","533","0","533","","","",""
"CREFAC","CREMAS FACIALES                                   ","CRPONC","Ponds CH 50g","19","526","0","526","","","",""
"SEM","SEMILLAS                                          ","7503014184009","Arroz Cosechador 1k","21","525","0","525","","","",""
"CHIENLA","CHILES ENLATADOS","CHRAJCL3","Rajas 3kg CLEMENTE","7","522.4","0","522.4","","","",""
"VELADORAS","VELADORAS","VEECODII5","Ecol Diamante #5 INMACULADA","9","522","0","522","","","",""
"CREFAC","CREMAS FACIALES                                   ","CRPONR","Ponds REJUVENESS 200g","6","519.4","0","519.4","","","",""
"REF","REFRESCOS                                         ","REVIT5","MEGA Vitaloe NUEVO 500ml","36","518.9004","0","518.9004","","","",""
"DET","DETERGENTES ROPA","DEMAE2","Maestro Limpio  250 gr","73","513.9408","0","513.9408","","","",""
"CIGARRO","CIGARROS                                          ","CICAM1","Camel 100s c/20cig","8","512","0","512","","","",""
"SEM","SEMILLAS                                          ","MAAM","MAIZ AMARILLO","80.5","510.5","0","510.5","","","",""
"SHAMPOO","SHAMPOO´S                                         ","SHPANE","Pantene   SOBRE 10ml","245","504.12","0","504.12","","","",""
"CIGARRO","CIGARROS                                          ","CIDEL2","Delicados C/FILTRO  20c CHESTERFIELD","10","486","0","486","","","",""
"DET","DETERGENTES ROPA","DEWIX","DETERGENTE WIXO 1kg","32","484","0","484","","","",""
"CRCOM","CREMAS COMESTIBLES                                ","CRVAC45","Crema Vaca Blanca 450g","21","483","0","483","","","",""
"JAPAS","JABONES PASTA","JPTEP","Tepeyac PASTA 400gr","31","482.9","0","482.9","","","",""
"GALLETAS","GALLETAS","GAMARIMON","Marianitas NARANJA Moderna 20/185g","3","479.7","0","479.7","","","",""
"FARMACIA","FARMACIA                                          ","POCAM","POMADA CAMPANA 19g","39","479.5","0","479.5","","","",""
"BRILLANTINA","BRILLANTINAS                                      ","BRPALG","Brillantina Palmolive 199ml","10","479","0","479","","","",""
"DET","DETERGENTES ROPA","DEPUR2","Puro Sol  250gr","60","477.8","0","477.8","","","",""
"LEPOL","LECHES EN POLVO                                   ","LENAN31","Nan 3 1.2kg","2","470","0","470","","","",""
"TINTES","TINTES","TIKOL30","Koleston #30 Castaño obscuro","9","467.1","0","467.1","","","",""
"PANE","PANES                                             ","7503030199995","roles canela 3/60gr","31","463","0","463","","","",""
"PAÑ","PAÑALES                                           ","PAANGXG","Pañal Angel XXGrande 60pz","3","462","0","462","","","",""
"SALS","SALSAS                                            ","SACHA5","Chamoy MEGA  500 ml","35","461.6504","0","461.6504","","","",""
"DES","DESECHABLES                                       ","PLESTGD","Plato Extendido GRANDE #10 /20","33","461.4","0","461.4","","","",""
